编号,词语
id,word
int,string
,
1,空气
2,石头
3,草方块
4,泥土
5,圆石
6,木板
7,树苗
8,基岩
9,水
10,岩浆
11,沙子
12,沙砾
13,金矿
14,铁矿
15,煤矿
16,木头
17,树叶
18,海绵
19,玻璃
20,青金石
21,发射器
22,沙石
23,音符盒
24,床
25,铁轨
26,活塞
27,蜘蛛网
28,草丛
29,灌木
30,活塞臂
31,羊毛
32,蒲公英
33,高粱酒
34,棕蘑菇
35,红蘑菇
36,金块
37,铁块
38,石台阶
39,砖块
40,TNT
41,书架
42,苔石
43,黑曜石
44,火把
45,火
46,刷怪箱
47,橡木梯
48,箱子
49,红石线
50,钻石矿
51,钻石块
52,工作台
53,耕地
54,梯子
55,圆石梯
56,拉杆
57,红石矿
58,雪
59,冰
60,雪块
61,仙人掌
62,唱片机
63,栅栏
64,南瓜
65,地狱岩
66,灵魂沙
67,萤石
68,下界门
69,南瓜灯
70,怪物蛋
71,石砖
72,巨蘑菇
73,毒蘑菇
74,铁栏杆
75,玻璃板
76,南瓜梗
77,西瓜梗
78,藤蔓
79,砖楼梯
80,石楼梯
81,菌丝
82,睡莲
83,地狱砖
84,附魔台
85,末地门
86,末地石
87,龙蛋
88,红石灯
89,木台阶
90,可可果
91,末影箱
92,绊线钩
93,绊线
94,绿宝石块
95,命令方块
96,信标
97,圆石墙
98,花盆
99,胡萝卜
100,马铃薯
101,木按钮
102,铁砧
103,陷阱箱
104,压力板
105,比较器
106,传感器
107,红石块
108,石英矿
109,漏斗
110,石英块
111,投掷器
112,粘液块
113,屏障
114,活板门
115,海晶石
116,海晶灯
117,干草块
118,地毯
119,硬粘土
120,煤炭块
121,浮冰
122,大型花
123,旗帜
124,红沙石
125,栅栏门
126,铁栅栏
127,木门
128,末地烛
129,紫影花
130,紫珀块
131,甜菜种
132,草径
133,霜冰
134,打火石
135,苹果
136,弓
137,箭
138,煤炭
139,钻石
140,铁锭
141,金锭
142,铁剑
143,铁锹
144,铁镐
145,铁斧
146,木剑
147,木锹
148,木镐
149,木斧
150,石剑
151,石锹
152,石镐
153,石斧
154,钻石剑
155,钻石锹
156,钻石镐
157,钻石斧
158,木棍
159,碗
160,蘑菇煲
161,金剑
162,金锹
163,金镐
164,金斧
165,线
166,羽毛
167,火药
168,木锄
169,石锄
170,铁锄
171,钻石锄
172,金锄
173,小麦种子
174,小麦
175,面包
176,皮革帽
177,皮革甲
178,皮革裤
179,皮革靴
180,铁头盔
181,铁胸甲
182,铁护腿
183,铁靴子
184,钻石盔
185,钻石甲
186,钻石腿
187,钻石靴
188,金头盔
189,金胸甲
190,金护腿
191,金靴子
192,燧石
193,生猪排
194,熟猪排
195,画
196,金苹果
197,告示牌
198,桶
199,水桶
200,岩浆桶
201,矿车
202,鞍
203,铁门
204,红石粉
205,雪球
206,船
207,皮革
208,牛奶
209,红砖
210,粘土
211,甘蔗
212,纸
213,书
214,粘液球
215,鸡蛋
216,指南针
217,钓鱼竿
218,钟
219,萤石粉
220,生鱼
221,熟鱼
222,染料
223,骨头
224,糖
225,蛋糕
226,中继器
227,曲奇
228,地图
229,剪刀
230,西瓜片
231,种子
232,西瓜种
233,生牛肉
234,牛排
235,生鸡肉
236,熟鸡肉
237,腐肉
238,末影珠
239,烈焰棒
240,恶魂之泪
241,金粒
242,地狱疣
243,药水
244,玻璃瓶
245,蜘蛛眼
246,烈焰粉
247,岩浆膏
248,酿造台
249,炼药锅
250,末影眼
251,西瓜
252,刷怪蛋
253,附魔瓶
254,火焰弹
255,书与笔
256,成书
257,绿宝石
258,展示框
259,烤马铃薯
260,毒马铃薯
261,空地图
262,金萝卜
263,下界星
264,南瓜派
265,火箭
266,烟火星
267,附魔书
268,生兔肉
269,熟兔肉
270,兔肉煲
271,兔子脚
272,兔子皮
273,盔甲架
274,铁马铠
275,金马铠
276,拴绳
277,命名牌
278,生羊肉
279,熟羊肉
280,云杉门
281,白桦门
282,丛林门
283,橡木门
284,紫影果
285,爆裂果
286,甜菜根
287,甜菜汤
288,龙息
289,光灵箭
290,药箭
291,盾牌
292,鞘翅
293,云杉船
294,白桦船
295,丛林船
296,橡木船
297,唱片
298,经验球
299,拴绳结
300,凋灵头
301,烟花
302,爬行者
303,骷髅
304,蜘蛛
305,巨人
306,僵尸
307,史莱姆
308,恶魂
309,僵尸猪
310,末影人
311,蠹虫
312,烈焰人
313,岩浆怪
314,末影龙
315,凋灵
316,女巫
317,末影螨
318,守卫者
319,潜影贝
320,长耳兔
321,蝙蝠
322,猪
323,羊
324,牛
325,鸡
326,鱿鱼
327,狼
328,哞菇
329,雪傀儡
330,豹猫
331,铁傀儡
332,马
333,兔子
334,村民
335,刷怪笼
336,刷怪塔
337,发电机
338,永动机
339,铁炉
340,粉碎机
341,电炉
342,反应堆
343,采矿机
344,工业炉
345,合成机
346,变压器
347,电池
348,青铜粉
349,电路板
350,传送带
351,枪械
352,手枪
353,冲锋枪
354,机枪
355,特种枪
356,步枪
357,大炮
358,火炮
359,加农炮
360,榴弹炮
361,迫击炮
362,高射炮
363,航炮
364,舰炮
365,海岸炮
366,火箭炮
367,坦克炮
368,航母
369,战列舰
370,驱逐舰
371,巡洋舰
372,护卫舰
373,潜艇
374,原子弹
375,氢弹
376,中子弹
377,飞机
378,轰炸机
379,运输机
380,侦察机
381,歼击机
382,导弹
383,核导弹
384,瓦斯弹
385,鱼雷
386,来复枪
387,神机炮
388,散弹枪
389,机炮
390,狙击枪
391,内燃机
392,锅炉
393,轮船
394,游艇
395,激光枪
396,机车
397,机床
398,电灯
399,木桌
400,木椅
401,木床
402,木柜
403,铁桌
404,铁椅
405,铁床
406,铁柜
407,酒柜
408,书橱
409,电脑桌
410,梳妆台
411,梳妆凳
412,梳子
413,木梳
414,骨梳
415,毛巾
416,餐车
417,茶几
418,玄关
419,衣架
420,沙发
421,屏风
