编号,词语
id,word
int,string
,
1,马行空
2,马春花
3,徐铮
4,商宝震
5,何思豪
6,阎基
7,田归农
8,苗人凤
9,南仁通
10,补锅匠
11,脚夫
12,车夫
13,蒋调侯
14,店伴
15,钟兆文
16,钟兆英
17,钟兆能
18,南兰
19,苗若兰
20,商老太
21,平四
22,胡斐
23,张总管
24,王剑英
25,王剑杰
26,陈禹
27,古若般
28,殷仲翔
29,福康安
30,赵半山
31,孙刚峰
32,吕小妹
33,钟四嫂
34,钟小二
35,钟阿四
36,胖商人
37,瘦商人
38,凤南天
39,凤七
40,俞朝奉
41,蛇皮张
42,邝宝官
43,凤一鸣
44,大汉
45,孙伏虎
46,尉迟连
47,杨宾
48,中年武师
49,灵素
50,袁紫衣
51,刘鹤真
52,崔百胜
53,曹猛
54,蓝秦
55,王仲萍
56,张飞雄
57,慕容景岳
58,姜铁山
59,薛鹊
60,王铁匠
61,姜小铁
62,田青文
63,张管家
64,聂钺
65,上官
66,褚轰
67,汪铁鹗
68,周铁鹤
69,曾铁鸥
70,秦耐之
71,姬晓峰
72,张九
73,任通武
74,相国夫人
75,蔡威
76,汤沛
77,无青子
78,海兰弼
79,大智禅师
80,欧阳公政
81,西灵道人
82,文醉翁
83,周隆
84,郭玉堂
85,齐伯涛
86,陈高波
87,安提督
88,宗雄
89,桑飞虹
90,倪不大
91,倪不小
92,常赫志
93,常伯志
94,上官铁生
95,哈赤大师
96,心砚
97,石双英
98,刘之余
99,童怀道
100,李廷豹
101,石万嗔
102,木文察
103,陈家洛
104,无尘道长
105,德布
106,李沅芷
107,余鱼同
108,司徒雷
109,谢不当
110,黄希节
111,刀白凤
112,丁春秋
113,马夫人
114,马五德
115,小翠
116,于光豪
117,巴天石
118,不平道人
119,邓百川
120,风波恶
121,甘宝宝
122,公冶乾
123,木婉清
124,少林老僧
125,太皇太后
126,天狼子
127,天山童姥
128,王语嫣
129,乌老大
130,无崖子
131,云岛主
132,云中鹤
133,止清
134,白世镜
135,包不同
136,本参
137,本观
138,本相
139,本因
140,出尘子
141,冯阿三
142,兰剑
143,古笃诚
144,过彦之
145,平婆婆
146,石清露
147,石嫂
148,司空玄
149,司马林
150,玄慈
151,玄寂
152,玄苦
153,玄难
154,玄生
155,玄痛
156,叶二娘
157,竹剑
158,左子穆
159,华赫艮
160,乔峰
161,李春来
162,李傀儡
163,李秋水
164,刘竹庄
165,朴者和尚
166,祁六三
167,全冠清
168,阮星竹
169,西夏宫女
170,许卓诚
171,朱丹臣
172,努儿海
173,阿碧
174,阿洪
175,阿胜
176,阿朱
177,阿紫
178,波罗星
179,陈孤雁
180,鸠摩智
181,来福儿
182,孟师叔
183,宋长老
184,苏星河
185,苏辙
186,完颜阿古打
187,耶律洪基
188,耶律莫哥
189,耶律涅鲁古
190,耶律重元
191,吴长风
192,吴光胜
193,吴领军
194,辛双清
195,严妈妈
196,余婆婆
197,岳老三
198,张全祥
199,单伯山
200,单季山
201,单叔山
202,单小山
203,单正
204,段延庆
205,段誉
206,段正淳
207,段正明
208,范禹
209,范百龄
210,范骅
211,苟读
212,和里布
213,何望海
214,易大彪
215,郁光标
216,卓不凡
217,宗赞王子
218,哈大霸
219,姜师叔
220,枯荣长老
221,梦姑
222,姚伯当
223,神山上人
224,神音
225,狮鼻子
226,室里
227,项长老
228,幽草
229,赵钱孙
230,赵洵
231,哲罗星
232,钟灵
233,钟万仇
234,高升泰
235,龚光杰
236,贾老者
237,康广陵
238,秦红棉
239,虚竹
240,容子矩
241,桑土公
242,唐光雄
243,奚长老
244,徐长老
245,诸保昆
246,崔百泉
247,崔绿华
248,符敏仪
249,黄眉和尚
250,菊剑
251,聋哑婆婆
252,梅剑
253,萧远山
254,游骥
255,游驹
256,游坦之
257,程青霜
258,傅思归
259,葛光佩
260,缘根
261,智光大师
262,鲍千灵
263,褚万里
264,瑞婆婆
265,端木元
266,黎夫人
267,薛慕华
268,慕容博
269,慕容复
270,谭公
271,谭婆
272,谭青
273,摘星子
274,慧方
275,慧观
276,慧净
277,慧真
278,穆贵妃
279,赫连铁树
280,一灯大师
281,马青雄
282,马钰
283,小沙弥
284,木华黎
285,丘处机
286,沈青刚
287,书记
288,书生
289,天竺僧人
290,王处一
291,王罕
292,尹志平
293,包惜弱
294,冯衡
295,术赤
296,农夫
297,孙不二
298,札木合
299,华筝
300,李萍
301,刘玄处
302,刘瑛姑
303,吕文德
304,乔寨主
305,曲三
306,曲傻姑
307,全金发
308,汤祖德
309,朱聪
310,陈玄风
311,赤老温
312,瘦丐
313,陆乘风
314,陆冠英
315,沙通天
316,吴青烈
317,杨康
318,杨铁心
319,余兆兴
320,张阿生
321,张十五
322,忽都虎
323,欧阳峰
324,欧阳克
325,梅超风
326,铁木真
327,拖雷
328,者勒米
329,段天德
330,枯木
331,周伯通
332,郭靖
333,郭啸天
334,郝大通
335,洪七公
336,侯通海
337,姜文
338,柯镇恶
339,南希仁
340,胖妇人
341,胖丐
342,胖子
343,哑梢公
344,都史
345,钱青健
346,桑昆
347,盖运聪
348,黄蓉
349,黄药师
350,梁长老
351,梁子翁
352,渔人
353,博尔忽
354,博尔术
355,程瑶迦
356,韩宝驹
357,韩小莹
358,焦木和尚
359,鲁有脚
360,穆念慈
361,彭长老
362,彭连虎
363,童子
364,窝阔台
365,简长老
366,简管家
367,裘千仞
368,裘千丈
369,察合台
370,酸儒文人
371,谭处端
372,黎生
373,樵子
374,灵智上人
375,完颜洪烈
376,完颜洪熙
377,林黛玉
378,薛宝钗
379,贾元春
380,贾迎春
381,贾探春
382,贾惜春
383,李纨
384,妙玉
385,史湘云
386,王熙凤
387,贾巧姐
388,晴雯
389,麝月
390,袭人
391,鸳鸯
392,雪雁
393,紫鹃
394,碧痕
395,平儿
396,香菱
397,金钏
398,司棋
399,抱琴
400,焦大
401,王善保
402,周瑞
403,林之孝
404,乌进孝
405,包勇
406,吴贵
407,吴新登
408,邓好时
409,王柱
410,余信
411,昭儿
412,兴儿
413,隆儿
414,坠儿
415,喜儿
416,寿儿
417,丰儿
418,住儿
419,小舍儿
420,李十儿
421,贾敬
422,贾赦
423,贾政
424,贾宝玉
425,贾琏
426,贾珍
427,贾环
428,贾蓉
429,贾兰
430,贾芸
431,贾蔷
432,琪官
433,芳官
434,藕官
435,蕊官
436,药官
437,玉官
438,宝官
439,龄官
440,茄官
441,艾官
442,豆官
443,智能
444,智通
445,智善
446,圆信
447,大色空
448,净虚
449,彩儿
450,彩凤
451,彩霞
452,彩鸾
453,彩明
454,元春
455,宝玉
456,甄宝玉
457,薛宝琴
458,薛蝌
459,薛宝
460,王子腾
461,尤老娘
462,尤氏
463,尤二姐
464,贾芹贾珍
465,贾瑞
466,贾敏
467,贾代化
468,贾代修
469,贾代善
470,司棋詹光
471,单聘仁
472,魏征
473,李彪
474,高才
475,唐太宗
476,徐世勣
477,李建成
478,玉华王
479,刘伯钦
480,高香兰
481,玉帝
482,敖广
483,辛环
484,张班
485,龙婆
486,雷公
487,龟将
488,十都
489,西王母
490,许旌阳
491,泰山王
492,崔石卿
493,姚太尉
494,井木犴
495,昂日鸡
496,参水猿
497,药叉将
498,弥勒佛
499,赤髯龙
500,牛魔王
501,熊山君
502,黄风怪
503,云里雾
504,假悟空
505,拂云叟
506,灵明石猴
507,奔波儿灞
508,女童腊梅
509,黄毛老象
510,高天上圣
511,杨戬二郎
512,东方曼倩
513,持国天王
514,值时功曹
515,北方辰星
516,南斗星君
517,银头揭谛
518,甲子神将
519,直健将军
520,黄衣仙女
521,释迦牟尼
522,泼法金刚
523,降龙罗汉
524,清净喜佛
525,精进善佛
526,善游步佛
527,广主严佛
528,常光幢佛
529,文珠菩萨
530,巡海夜叉
531,直跳虾婆
532,水猿大圣
533,十殿冥王
534,七衣仙女
535,四大金刚
536,陈萼
537,法明
538,李四
539,李世民
540,徐茂公
541,李元吉
542,寇大宽
543,陈老者
544,高玉兰
545,王母
546,敖钦
547,陶荣
548,鲁班
549,龙女
550,云童
551,蛇将
552,张蕃
553,李长庚
554,张道陵
555,都市王
556,王文卿
557,李太尉
558,牛金牛
559,虚日鼠
560,轸水蚓
561,鱼肚将
562,宝光佛
563,鲇外郎
564,鲥军师
565,徒劳龙
566,蛟魔王
567,熊罴精
568,雾里云
569,假唐僧
570,赛太岁
571,赤尻马猴
572,灞波儿奔
573,黄眉老佛
574,寿星白鹿
575,大慈仁者
576,佑圣真君
577,姮娥仙子
578,增长天王
579,东方岁星
580,水德真君
581,北斗星君
582,丁卯神将
583,甲戌神将
584,南斗六司
585,绿衣仙女
586,菩提祖师
587,胜至金刚
588,迦叶尊者
589,毗卢尸佛
590,宝月光佛
591,旃檀光佛
592,金华光佛
593,观世灯佛
594,普贤菩萨
595,泾河龙王
596,善财龙女
597,闪电娘子
598,五炁真君
599,北斗七元
600,十八罗汉
601,光蕊
602,张稍
603,红三
604,殷开山
605,许敬宗
606,高士廉
607,陈萼母
608,眼看喜
609,高翠兰
610,金母
611,敖顺
612,庞洪
613,左辅
614,鼍将
615,电母
616,狮奴
617,邓化
618,王灵官
619,计都星
620,卞城王
621,展子江
622,殷灵官
623,鬼金羊
624,房日兔
625,尾火虎
626,黄石公
627,才光佛
628,恶乌龟
629,朱太尉
630,稳兽龙
631,鹏魔王
632,特处士
633,白骨精
634,急如火
635,假八戒
636,金毛犼
637,通臂猿猴
638,万圣公主
639,黄眉童儿
640,白面狐狸
641,太上老君
642,翊圣真君
643,荡魔天尊
644,广目天王
645,木德真君
646,中央镇星
647,崇恩圣帝
648,丁丑神将
649,甲申神将
650,红衣仙女
651,观音菩萨
652,大力金刚
653,伏虎罗汉
654,宝幢王佛
655,现无愚佛
656,摩尼幢佛
657,才光明佛
658,法胜王佛
659,金衣力士
660,推云童子
661,四海龙王
662,五斗星君
663,瀛洲九老
664,辟暑大王
665,王珪
666,李定
667,陈澄
668,殷温娇
669,马三宝
670,虞世南
671,王左衙
672,耳听怒
673,王老者
674,李靖
675,敖闰
676,刘后
677,右弼
678,判官
679,山神
680,三清
681,寇铭
682,镇元子
683,秦广王
684,转轮王
685,扈文长
686,朱灵官
687,娄金狗
688,毕月乌
689,室火猪
690,日游神
691,千里眼
692,鼋枢密
693,井龙王
694,敬仲龙
695,狮驼王
696,野牛精
697,黄袍怪
698,快如风
699,假沙僧
700,蜘蛛精
701,万岁狐王
702,九头驸马
703,红鳞大蟒
704,地涌夫人
705,太白金星
706,金顶大仙
707,东海龙王
708,多闻天王
709,南方荧惑
710,土德真君
711,南极观音
712,丁亥神将
713,甲午神将
714,青衣仙女
715,纠察灵官
716,永住金刚
717,弥勒尊者
718,弥勒尊佛
719,婆留那佛
720,慧炬照佛
721,智慧胜佛
722,须弥光佛
723,锄树力士
724,捧珠龙女
725,布雾郎君
726,四大天师
727,五方五老
728,十二元辰
729,辟尘大王
730,秦琼
731,相良
732,陈清
733,满堂娇
734,段志贤
735,张道源
736,李右衙
737,鼻嗅爱
738,百花娇
739,哪吒
740,观音
741,苟章
742,清风
743,金童
744,水神
745,四帝
746,张旺
747,东方朔
748,楚江王
749,司马卿
750,韦玉卿
751,陶灵官
752,亢金龙
753,危月燕
754,觜火猴
755,夜游神
756,顺风耳
757,鼍丞相
758,鲭太尉
759,风婆婆
760,猕猴王
761,凌虚子
762,精细鬼
763,兴烘掀
764,鲇鱼怪
765,蜈蚣精
766,玉面公主
767,赤身鬼使
768,有来有去
769,半截观音
770,木德星官
771,南极星君
772,南海龙王
773,值年功曹
774,火德真君
775,东斗星君
776,北极玄灵
777,丁酉神将
778,甲辰神将
779,素衣仙女
780,游奕灵官
781,文殊菩萨
782,乌巢禅师
783,小张太子
784,阿弥陀佛
785,那罗延佛
786,大慈光佛
787,世静光佛
788,金海光佛
789,运水力士
790,红眼马郎
791,黄河水伯
792,四大天王
793,五方揭谛
794,二十八宿
795,九曜星
796,李渊
797,刘全
798,杨妻
799,袁天罡
800,程咬金
801,张士衡
802,刘小二
803,舌尝思
804,红百万
805,嫦娥
806,仙翁
807,毕环
808,明月
809,玉女
810,鲨鱼
811,三官
812,李老者
813,张伯端
814,宋帝王
815,赵子任
816,孟非卿
817,许灵官
818,女土蝠
819,心月狐
820,翼火蛇
821,周文王
822,鳜都司
823,鲤总兵
824,白鹦哥
825,巽二郎
826,禺狨王
827,苍狼精
828,伶俐虫
829,掀烘兴
830,黑鱼精
831,小钻风
832,玉面狸精
833,杏仙杏树
834,玉面狐狸
835,南山大王
836,托塔天王
837,与世同君
838,北海龙王
839,值月功曹
840,西方太白
841,西斗星君
842,黄角大仙
843,丁未神将
844,甲寅神将
845,皂衣仙女
846,大力天王
847,燃灯古佛
848,灵吉菩萨
849,华光菩萨
850,无量寿佛
851,功德华佛
852,慈力王佛
853,日月光佛
854,大通光佛
855,修桃力士
856,黑甲将军
857,五路神龙
858,四大灵官
859,六丁神将
860,雷部诸神
861,傅奕
862,皇后
863,杨子
864,袁守诚
865,刘洪纪
866,李淳风
867,李翠莲
868,意见欲
869,一秤金
870,天官
871,赵江
872,摩昂
873,典簿
874,鳠痴
875,三星
876,王小二
877,张紫阳
878,仵官王
879,张文通
880,明文章
881,柳土獐
882,张月鹿
883,文曲星
884,孔圣人
885,鲌太尉
886,勾死人
887,小黄龙
888,癞头鼋
889,卵二姐
890,黑大王
891,巴山虎
892,小鼍龙
893,九头虫
894,金翅雕
895,万圣龙王
896,女童丹桂
897,女妖七子
898,辟寒大王
899,赤脚大仙
900,东华帝君
901,西海龙王
902,值日功曹
903,金德真君
904,中斗星君
905,金头揭谛
906,丁已神将
907,郭申将军
908,紫衣仙女
909,东西星斗
910,惠岸木叉
911,黎山老母
912,白雄尊者
913,龙尊王佛
914,才功德佛
915,贤善首佛
916,妙音声佛
917,斗战胜佛
918,打扫力士
919,横行蟹士
920,水母娘娘
921,四值功曹
922,六甲神将
923,四大菩萨
924,樵夫
925,刘母
926,杨孙
927,房玄龄
928,胡敬德
929,薛仁贵
930,李玉英
931,身本忧
932,陈关保
933,地官
934,炁星
935,秦完
936,如来
937,力士
938,蜃龙
939,四渎
940,赵寡妇
941,丘弘济
942,阎罗王
943,臧文公
944,康太尉
945,角木蛟
946,氐土貉
947,箕水豹
948,武曲星
949,桃花女
950,鳝力士
951,巨灵神
952,小骊龙
953,四大将
954,寅将军
955,黑熊精
956,倚海龙
957,孤直公
958,青脸儿
959,张氏
960,广智
961,寇妻
962,寿星
963,太阴
964,袁角
965,迦叶
966,城隍
967,五岳
968,禄星
969,八极
970,天佑
971,金吒
972,风伯
973,谛听
974,刘洪
975,广谋
976,寇梁
977,福星
978,太阳
979,天蓬
980,诸天
981,社令
982,冷龙
983,七政
984,刘妻
985,寇洪
986,杜如晦
987,秦叔宝
988,吴道子
989,相良妻
990,高太公
991,杨老者
992,水官
993,孛星
994,董全
995,阿傩
996,土地
997,五瘟
998,陈少保
999,葛仙翁
1000,平等王
1001,石叔通
1002,张太尉
1003,奎木狼
1004,星日马
1005,壁水貐
1006,鬼谷子
1007,青背龙
1008,四余罗
1009,老虎精
1010,虎先锋
1011,狮猁王
1012,黄毛虎
1013,凌空子
1014,犀牛精
