编号,词语
id,word
int,string
,
1,老
2,小
3,大
4,幼年
5,少年
6,中年
7,老年
8,萌
9,乖
10,傻
11,呆
12,懒
13,神族
14,妖怪
15,亡灵
16,魔族
17,血族
18,变化
19,地狱
20,山洞
21,矿洞
22,远古
23,太古
24,上古
25,化石
26,新生
27,重生
28,不败
29,混沌
30,极品
31,奥术
32,魔法
33,深渊
34,异世
35,异界
36,变异
37,颜控
38,腿控
39,御宅
40,极大
41,极巨
42,压制
43,火焰
44,炽焰
45,烈焰
46,爆燃
47,废柴
48,暗黑
49,死宅
50,肥宅
51,帝都
52,魔都
53,妖都
54,旧都
55,伪都
56,古都
57,神都
58,腐都
59,邪都
60,陪都
61,雾都
62,萌豚
63,声豚
64,军宅
65,天朝
66,高丽
67,11区
68,岛国
69,米帝
70,米国
71,白学
72,哲学
73,废萌
74,崩坏
75,绅士
76,奇行种
77,超大
78,中二
79,厨二
80,巨大
81,傲娇
82,平原
83,高原
84,丘陵
85,盆地
86,山地
87,极地
88,水星
89,火星
90,金星
91,木星
92,地球
93,土星
94,月球
95,非洲
96,欧洲
97,热带
98,寒带
99,温带
100,腹黑
101,毒舌
102,家养
103,野生
104,火山
105,冰原
106,冰川
107,小学
108,中学
109,大学
110,博士
111,脑洞
112,蠢萌
113,呆萌
114,老牌
115,大触
116,纯种
117,纯粹
118,伦敦
119,东京
120,巴黎
121,雅典
122,埃及
123,首尔
124,平壤
125,朝鲜
126,京都
127,纽约
128,费城
129,乡下
130,城市
131,魔术
132,闪电
133,机械
134,木头
135,石头
136,黑铁
137,青铜
138,钻石
139,铂金
140,黄金
141,白银
142,王者
143,幽灵
144,鬼魂
145,丧尸
146,僵尸
147,北京
148,广州
149,香港
150,挪威
151,大阪
152,希腊
153,澳门
154,上海
155,深圳
156,芬兰
157,德州
158,襄阳
159,西安
160,绵阳
161,南昌
162,江苏
163,福建
164,福州
165,厦门
166,欧气
167,多兰
168,银河
169,太阳
170,仙女
171,水瓶
172,天秤
173,巨蟹
174,白羊
175,金牛
176,双子
177,风暴
178,狮子
179,天蝎
180,射手
181,双鱼
182,魔蝎
183,强壮
184,城堡
185,结界
186,长生
187,摧毁
188,破坏
189,精确
190,主宰
191,巫术
192,兼备
193,惩戒
194,相位
195,湮灭
196,制裁
197,古老
198,传说
199,坚强
200,史诗
201,普通
202,破损
203,虚弱
204,迅捷
205,超级
206,终结
207,坚韧
208,圣佑
209,狂暴
210,愤怒
211,豪华
212,一流
213,活泼
214,颤抖
215,北风
216,寒冬
217,烈火
218,燃烧
219,烟雾
220,静态
221,发光
222,弯曲
223,震撼
224,锯齿
225,邪恶
226,残酷
227,残忍
228,阴险
229,悔恨
230,野蛮
231,绝情
232,凶暴
233,冷酷
234,幻影
235,幻想
236,冷冽
237,冰冷
238,雷心
239,雷霆
240,霜冻
241,霜裔
242,神邪
243,穿甲
244,破甲
245,破败
246,蛮族
247,蛮力
248,雷击
249,恶魔
250,暴怒
251,巨力
252,力量
253,敏捷
254,智力
255,审判
256,抵御
257,保卫
258,耐热
259,耐磨
260,耐用
261,虚触
262,防水
263,防腐
264,防火
265,防护
266,防偷
267,防骗
268,防炸
269,防盗
270,磐石
271,大地
272,止血
273,武力
274,抵抗
275,灼热
276,抗性
277,守护
278,庇护
279,引流
280,优质
281,侵害
282,侵扰
283,贪婪
284,野火
285,破碎
286,破裂
287,怨恨
288,虚空
289,虚无
290,爆炎
291,无上
292,真实
293,真正
294,疯狂
295,破暗
296,污染
297,憎恶
298,无情
299,密谋
300,枯萎
301,怒火
302,治愈
303,愈合
304,隔绝
305,追踪
306,操纵
307,圣贤
308,强硬
309,强悍
310,强劲
311,坚决
312,坚信
313,坚定
314,坚韧
315,坚实
316,坚贞
317,勇敢
318,勇猛
319,刚毅
320,决断
321,果敢
322,果决
323,坚强
324,坚忍
325,决然
326,毅然
327,断然
328,泼辣
329,断腕
330,发誓
331,干脆
332,爽快
333,果断
334,真诚
335,热诚
336,至诚
337,赤诚
338,诚挚
339,恳切
340,纯真
341,率直
342,坦率
343,笃实
344,热忱
345,热心
346,好客
347,客气
348,殷勤
349,和气
350,和蔼
351,和善
352,亲切
353,过谦
354,谦卑
355,谦恭
356,谦和
357,谦让
358,谦虚
359,谦逊
360,虚心
361,外向
362,开朗
363,大方
364,主动
365,俏皮
366,敏捷
367,乐观
368,调皮
369,爽脆
370,爽朗
371,豪爽
372,正直
373,直率
374,直爽
375,直言
376,爽直
377,刚直
378,憨直
379,耿直
380,公正
381,公道
382,公平
383,公允
384,正派
385,开阔
386,豁达
387,明朗
388,率真
389,怒吼
390,恐惧
391,胆怯
392,畏缩
393,发慌
394,心慌
395,恐慌
396,激怒
397,恼火
398,欢乐
399,快慰
400,开心
401,高兴
402,愉悦
403,微笑
404,舒畅
405,笑噱
406,欢闹
407,欢心
408,欢欣
409,欢悦
410,宽慰
411,欢舒
412,狂欢
413,震怒
414,气愤
415,担忧
416,发愁
417,犯愁
418,忧伤
419,忧愁
420,忧心
421,愁闷
422,悲痛
423,悲惨
424,悲凉
425,哀伤
426,哀怨
427,伤感
428,瘦削
429,憔悴
430,快乐
431,喜悦
432,愉快
433,畅快
434,欢畅
435,欢喜
436,欢腾
437,欢快
438,欣喜
439,今天
440,昨天
441,明天
442,后天
443,上午
444,下午
445,过去
446,未来
447,去年
448,前年
449,散步
450,漫步
451,踏步
452,信步
453,转悠
454,闲逛
455,徜徉
456,踉跄
457,蹒跚
458,小跑
459,慢跑
460,飞跑
461,飞奔
462,飞翔
463,啜泣
464,抽泣
465,呜咽
466,哀号
467,号哭
468,痛哭
469,大笑
470,欢笑
471,嬉笑
472,狂笑
473,嗤笑
474,憨笑
475,傻笑
476,哄笑
477,苦笑
478,阴笑
479,狞笑
480,奸笑
481,嘲笑
482,冷笑
483,哈腰
484,猫腰
485,挺身
486,挺胸
487,俯身
488,躬身
489,仰卧
490,蜷曲
491,倒立
492,转体
493,屈体
494,屈身
495,欠身
496,纵身
497,蹲身
498,鞠躬
499,曲背
500,匍匐
501,笔挺
502,腾跃
503,直立
504,翻腾
505,前倾
506,摇摆
507,翻跃
508,扭动
509,扭转
510,旋转
511,好吃
512,好看
513,好玩
514,清白
515,凛然
516,无私
517,刚正
518,负重
519,忠心
520,忠贞
521,谨慎
522,廉洁
523,大度
524,坦白
525,勤奋
526,刻苦
527,认真
528,专注
529,踏实
530,勤恳
531,好学
532,高尚
533,杰出
534,超伦
535,自爱
536,自尊
537,自强
538,宽容
539,宽宏
540,律己
541,朴素
542,憨厚
543,诚实
544,忠诚
545,诚恳
546,天真
547,幼稚
548,活泼
549,聪明
550,圆滑
551,狡猾
552,虚伪
553,自私
554,任性
555,骄傲
556,贪婪
557,愚蠢
558,奸诈
559,高傲
560,害羞
561,内向
562,孤僻
563,可爱
564,招烦
565,阴险
566,双重
567,刻薄
568,宽厚
569,仁慈
570,仁厚
571,尖酸
572,阴郁
573,肤浅
574,浅薄
575,胆小
576,乐天
577,达观
