编号,词语
id,word
int,string
,
1,蝙蝠
2,烈焰人
3,蜘蛛
4,鸡
5,鸡骑士
6,牛
7,爬行者
8,驴
9,守卫者
10,末影龙
11,末影人
12,末影螨
13,唤魔者
14,恶魂
15,巨人
16,马
17,尸壳
18,幻术师
19,铁傀儡
20,兔子
21,羊驼
22,吉祥物
23,岩浆怪
24,哞菇
25,骡
26,豹猫
27,鹦鹉
28,猪
29,北极熊
30,羊
31,潜影贝
32,蠹虫
33,骷髅
34,骷髅马
35,史莱姆
36,雪傀儡
37,守卫
38,鱿鱼
39,流髑
40,恼鬼
41,卫道士
42,村民
43,女巫
44,凋灵
45,狼
46,僵尸
47,僵尸马
48,鲑鱼
49,河豚
50,金枪鱼
51,鲤鱼
52,黄鳝
53,电鳗
54,泥鳅
55,巫师
56,弓手
57,公主
58,土豪
59,工程师
60,程序员
61,服主
62,阿婆主
63,妹子
64,精灵
65,兽人
66,矮人
67,龙
68,龙骑士
69,天使
70,恶魔
71,地狱疣
72,蘑菇
73,程序
74,美术
75,策划
76,开发
77,客服
78,侍卫
79,侍从
80,仆人
81,宅男
82,炮姐
83,侏儒
84,泰坦
85,血精灵
86,牛头人
87,牧师
88,圣骑士
89,猎人
90,德鲁伊
91,法师
92,术士
93,战士
94,盗贼
95,蜗牛
96,黑猪
97,国王
98,王子
99,女王
100,阴阳师
101,宗师
102,建筑师
103,特种兵
104,专家
105,猪骑士
106,骑士
107,狼骑士
108,君主
109,郡主
110,君王
111,骷髅兵
112,吉吉怪
113,苦力怕
114,蜘蛛娘
115,苦力娘
116,僵尸娘
117,末影娘
118,哞菇娘
119,凋零娘
120,搬运工
121,版主
122,汉化组
123,字幕君
124,画师
125,漫画家
126,动画师
127,声优
128,歌手
129,唱见
130,舞见
131,人偶师
132,主播
133,编剧
134,导演
135,吉他手
136,监督
137,贝斯手
138,主唱
139,鼓手
140,房管
141,贝斯
142,苹果
143,香蕉
144,橘子
145,桃子
146,荔枝
147,龙眼
148,桔子
149,李子
150,葡萄
151,青梅
152,椰子
153,石榴
154,草莓
155,栗子
156,梨子
157,樱桃
158,梨
159,木瓜
160,芒果
161,菠萝
162,柠檬
163,柿子
164,柚子
165,无花果
166,猕猴桃
167,西红柿
168,水蜜桃
169,西瓜
170,南瓜
171,甘蔗
172,小麦
173,高粱
174,胡萝卜
175,马铃薯
176,可可豆
177,仙人掌
178,白菜
179,黄瓜
180,豌豆
181,苦瓜
182,菠菜
183,冬瓜
184,茄子
185,竹笋
186,蚕豆
187,萝卜
188,辣椒
189,火龙
190,冰龙
191,野狼
192,野猪
193,双头龙
194,猴子
195,猎豹
196,企鹅
197,青蛙
198,蝌蚪
199,猛犸
200,半兽人
201,亚龙人
202,半人马
203,牛头
204,牛头怪
205,食人魔
206,仙女
207,小仙女
208,蛇妖
209,女妖
210,妖怪
211,地精
212,霍比特
213,半身人
214,巫女
215,萨满
216,魔王
217,魔女
218,地狱犬
219,甲虫
220,罗刹
221,石像
222,雕塑
223,飞马
224,树精
225,娜迦
226,狼人
227,猫人
228,猫女
229,巨魔
230,海豹
231,蜥蜴
232,三文鱼
233,希鲮鱼
234,纸巾
235,豹子
236,狮子
237,狮子王
238,妖精
239,英雄
240,侠客
241,老鼠
242,猫咪
243,狼狗
244,哈士奇
245,金毛
246,萨摩
247,斗牛犬
248,牧羊犬
249,猎犬
250,吉娃娃
251,八哥
252,腊肠犬
253,柯基
254,约克夏
255,松狮
256,秋田犬
257,柴犬
258,博美
259,藏獒
260,牛头梗
261,比熊
262,二郎神
263,玉帝
264,弼马温
265,波斯猫
266,英短
267,布偶
268,美短
269,入殓师
270,清洁工
271,教师
272,清道夫
273,律师
274,医生
275,码农
276,猛男
277,学姐
278,学长
279,师兄
280,大兵
281,网红
282,帅哥
283,课代表
284,班长
285,组长
286,跳蛛
287,蜜柑
288,痒痒鼠
289,跳跳鼠
290,作家
291,维修工
292,快递员
293,蝴蝶
294,瓢虫
295,蚂蚱
296,蚂蚁
297,毛毛虫
298,屎壳郎
299,苍蝇
300,蜜蜂
301,独角仙
302,飞蛾
303,天牛
304,鼻涕虫
305,金龟子
306,红蚂蚁
307,蚜虫
308,甲壳虫
309,蛾子
310,跳蚤
311,兔狲
312,短毛猫
313,折耳猫
314,暹罗猫
315,无毛猫
316,卷毛猫
317,猞猁
318,云豹
319,花豹
320,雪豹
321,灰狼
322,鬃狼
323,沙狐
324,藏狐
325,北极狐
326,苍狐
327,赤狐
328,大耳狐
329,貂
330,画眉鸟
331,麻雀
332,鸽子
333,文鸟
334,珍珠鸟
335,蜂鸟
336,火烈鸟
337,海鸥
338,猫头鹰
339,苍鹰
340,秃鹫
341,布谷鸟
342,乌鸦
343,灰鹦鹉
344,蜡嘴鸟
345,园丁鸟
346,孔雀
347,喜鹊
348,杜鹃
349,翠鸟
350,啄木鸟
351,主管
352,经理
353,监工
354,规划师
355,药师
356,护理
357,护士
358,会计
359,咨询师
360,翻译
361,记者
362,兽医
363,测量员
364,面壁者
365,破壁人
366,中介
367,厨师
368,老板
369,掌勺
370,营养师
371,推销员
372,司机
373,售票员
374,管理
375,导游
376,调酒师
377,美容师
378,理发师
379,解说员
380,交易员
381,保姆
382,苗圃工
383,设计师
384,模特
385,售货员
386,保安
387,警察
388,消防员
389,花匠
390,水电工
391,建筑工
392,电工
393,钳工
394,修护工
395,铸造工
396,缝纫工
397,顾问
398,白领
399,公务员
400,文秘
401,天文学家
402,大法师
403,小法师
404,大牧师
405,小牧师
406,剑客
407,刀客
408,剑术师
409,蛇
410,森冠蛇
411,宽头蛇
412,眼镜蛇
413,蟒蛇
414,竹叶青
415,草蛇
416,角马
417,狒狒
418,斑马
419,大象
420,非洲象
421,巨像
422,小象
423,水牛
424,瞪羚
425,尼罗鳄
426,河马
427,犀牛
428,小河马
429,羚羊
430,山羊
431,母羊
432,公羊
433,野马
434,野驴
435,金猫
436,盘羊
437,丹顶鹤
438,白鹤
439,金雕
440,天鹅
441,扬子鳄
442,白唇鹿
443,乌龟
444,蟾蜍
445,蝎子
446,沙蝎
447,鱼人
448,鱼怪
449,蜘蛛精
