编号,词语
id,word
int,string
,
1,奔跑
2,爬行
3,蹦极
4,游行
5,吃土
6,剁手
7,飞行
8,滑翔
9,背书
10,学习
11,思考
12,度假
13,啃书
14,吃鲸
15,洗脸
16,刷牙
17,登基
18,诞生
19,挖矿
20,下矿
21,游蝶泳
22,蹦迪
23,吃糖
24,跳舞
25,吸猫
26,遛狗
27,遛娃
28,烧烤
29,拔线
30,狗吠
31,上学
32,飞升
33,探险
34,观光
35,抽卡
36,划水
37,潜水
38,赏花
39,赏月
40,品茶
41,化妆
42,煮饭
43,做饭
44,觉醒
45,长跑
46,吸气
47,呼气
48,练功
49,熬夜
50,听歌
51,开车
52,上车
53,下车
54,飘着
55,开学
56,放假
57,画画
58,弹琴
59,砍树
60,挖坑
61,寻宝
62,追寻
63,下坠
64,浮沉
65,劈叉
66,踏雪
67,睡觉
68,发梦
69,做梦
70,冲浪
71,跑酷
72,哭泣
73,咆哮
74,穿越
75,潜行
76,复习
77,追番
78,搁浅
79,吟诗
80,葬花
81,大笑
82,苦笑
83,尬笑
84,羽化
85,消亡
86,爆破
87,求佛
88,鸟瞰
89,发芽
90,开花
91,滑行
92,练发声
93,扮鬼
94,出击
95,闯关
96,解密
97,交易
98,听写
99,摘星
100,落泪
101,祈祷
102,冥想
103,吹牛
104,研究
105,购物
106,补牙
107,拔牙
108,舞剑
109,灌篮
110,预习
111,考试
112,卖萌
113,扮猪
114,吃狗粮
115,坐飞机
116,开赛车
117,吃橙子
118,吃苹果
119,吃菠萝
120,吃榴莲
121,吃香蕉
122,吃枇杷
123,喝圣水
124,跳热舞
125,吹喇叭
126,开飞机
127,水上漂
128,跳芭蕾
129,穿西装
130,穿裙子
131,看日出
132,建房子
133,说相声
134,吹短笛
135,练吉他
136,吹长笛
137,泡温泉
138,深呼吸
139,肝游戏
140,看涨潮
141,刷副本
142,喝阔咯
143,看日落
144,等吃饭
145,做作业
146,看直播
147,说谢谢
148,打豆豆
149,看视频
150,看大海
151,做自己
152,讲笑话
153,背古诗
154,写作文
155,写散文
156,斗蛐蛐
157,捉蛐蛐
158,捉昆虫
159,搞科研
160,种太阳
161,喝可乐
162,玩魔方
163,解方程
164,拿高分
165,影分身
166,捏泥人
167,做好事
168,喝咖啡
169,开班会
170,发通报
171,发牢骚
172,使性子
173,学音乐
174,学美术
175,吆喝
176,吃辣条
177,笑嘻嘻
178,扮可爱
179,吃钙片
180,吃麦片
181,吃披萨
182,上网
183,进观园
184,搬音响
185,解等式
186,玩卡牌
187,蹦跳跳
188,开汽车
189,作演讲
190,练书法
191,画漫画
192,开火车
193,做手工
194,读英语
195,吃牛肉
196,喝鸡汤
197,过马路
198,数绵羊
199,打电话
200,发短信
201,听广播
202,看漫画
203,变魔术
204,猜字谜
205,听音乐
206,学雷锋
207,切蔬菜
208,想问题
209,吃零食
210,想休息
211,拍气球
212,买玩具
213,开轿车
214,捏橘子
215,放鞭炮
216,吃水果
217,削水果
218,削苹果
219,削菠萝
220,削梨子
221,倒垃圾
222,改错误
223,吃醋
224,喝醋
225,上岸
226,吃面条
227,学数学
228,学语文
229,学地理
230,学英语
231,学历史
232,学生物
233,学物理
234,做装备
235,修钟表
236,修水管
237,修汽车
238,修桌子
239,修手机
240,修冰箱
241,吹口琴
242,弹琵琶
243,弹古筝
244,弹钢琴
245,吹口哨
246,弹吉他
247,吹笛子
248,弹三弦
249,敲排鼓
250,敲木鱼
251,敲渔鼓
252,撞铁钟
253,敲锣
254,拉二胡
255,拉马头琴
256,唱歌
257,唱山歌
258,唱高音
259,唱低音
260,听鸟叫
261,听摇滚
262,听爵士
263,听民谣
264,推箱子
265,看动漫
266,玩电脑
267,玩手机
268,逛街
269,拧瓶盖
270,打扫
271,擦椅子
272,削铅笔
273,背课文
274,背英语
275,念单词
276,念课文
277,打副本
278,放技能
279,躲技能
280,躲雨
281,跺脚
282,提水桶
283,涨工资
284,吃稀饭
285,喝冷饮
286,打篮球
287,踢足球
288,瞪眼睛
289,去砍树
290,闻花香
291,修管道
292,修电脑
293,擦桌子
294,咬铅笔
295,玩跳棋
296,看电视
297,看足球
298,看电影
299,看攻略
300,下象棋
301,下围棋
302,下棋
303,悔棋
304,上楼梯
305,坐电梯
306,下楼梯
307,看海报
308,喝稀饭
309,喝饮料
310,喝豆浆
311,喝果汁
312,喝豆奶
313,扔东西
314,扔垃圾
315,扔废纸
316,扔飞镖
317,丢飞机
318,开会
319,散步
320,游泳
321,健身
322,锻炼
323,迫降
324,变身
